userID,user_serendipity_x,user_serendipity_y,comparison
0,0.7279555899147705,0.8548228786429368,1
1,0.7171570189298693,0.6208389922766008,0
2,0.5923082127534942,0.6902225529619193,1
3,0.7493381979393414,0.6142734116029183,0
4,0.6970999011219656,0.8477901764337945,1
5,0.6467701086713655,0.5238674734636456,0
6,0.702149368765671,0.8541594570257119,1
7,0.6389440871558184,0.6735539304682694,1
8,0.6392741838445952,0.43367403592059295,0
9,0.6866886132370004,0.6927789418148496,1
10,0.6382930771107771,0.6067323692943603,0
11,0.6810467730763697,0.5632526280407179,0
12,0.7164030003717609,0.8448289100082613,1
13,0.623295447822436,0.7126541284695183,1
14,0.7190689299805865,0.7459453803362182,1
15,0.7145268101983089,0.660411704846044,0
16,0.5914211381536078,0.7746459978324075,1
17,0.7108274264535914,0.7022817373575692,0
18,0.6781815612438259,0.3977213512078525,0
19,0.7019712914754034,0.7845243358494298,1
20,0.6643913824697786,0.45887120370082074,0
21,0.7348783526255368,0.822157076276763,1
22,0.7128585722618396,0.8354797869470308,1
23,0.7631598199693667,0.4582606319462946,0
24,0.7221895199787903,0.5598693661072519,0
25,0.7030837790554982,0.5147479330679701,0
26,0.7104524372819507,0.7465075350743046,1
27,0.6688627497849333,0.4585524292260651,0
28,0.6654609004842178,0.5497651981460683,0
29,0.5856970562870837,0.7565740265196796,1
30,0.6281953937296211,0.8097269820112281,1
31,0.7237623086752465,0.6999012513769303,0
32,0.7197306957847398,0.37406640049860423,0
33,0.6889486526700759,0.5981458162349844,0
34,0.6629648572683704,0.37724111002209015,0
35,0.6449551982357755,0.6165550951845742,0
36,0.6655363560920977,0.7109256184126673,1
37,0.6481783467057578,0.6170565685365282,0
38,0.6201809404346328,0.6975395844906666,1
39,0.6256058328413836,0.6016135624407892,0
40,0.7664561176839304,0.6124316300952429,0
41,0.6023335296847877,0.8025022010367213,1
42,0.7022849180397597,0.743358375844077,1
43,0.7538024261995427,0.8621605981585054,1
44,0.6736090734633887,0.7484104699636912,1
45,0.7019837639944627,0.7829841517499085,1
46,0.6731185463982114,0.4693714086183987,0
47,0.5873466512763437,0.633720551820803,1
48,0.7251000796986748,0.415486876935105,0
49,0.6935812891022803,0.6714525976479522,0
50,0.7307680982922824,0.7507261766650936,1
51,0.686661969335008,0.7725564319184207,1
52,0.6865507143096743,0.8108682035129527,1
53,0.7214739582104283,0.4451533696871965,0
54,0.7354469461337491,0.5952994623928799,0
55,0.6934972475632919,0.5153510015012277,0
56,0.6162233962559781,0.5841777316375714,0
57,0.6829348631848624,0.7373839356029863,1
58,0.6307181556665176,0.6040998003830957,0
59,0.6563105084739449,0.7999267715546011,1
60,0.7038421622817013,0.8175769602642935,1
61,0.7581460018210155,0.7461779851945534,0
62,0.6677631096749148,0.7081208862697903,1
63,0.6242594935490741,0.5228332943386758,0
64,0.6962409000627724,0.7299061233430326,1
65,0.7001681816731905,0.7500320448413607,1
66,0.7048538954528257,0.6298146798343928,0
67,0.7355811784210096,0.8478063499832587,1
68,0.7099742435800852,0.7106695492959777,1
69,0.7093213056782156,0.5575848883927209,0
70,0.5793923713266672,0.7459273226655505,1
71,0.7396013283387772,0.47329404631008015,0
72,0.7120500797435116,0.9169297409230042,1
73,0.7652186444431475,0.8620387702489101,1
74,0.6020669716273553,0.5804013010398029,0
75,0.6821209133184902,0.7500880721448143,1
76,0.6967532198895537,0.6816570797538077,0
77,0.653447856422716,0.5245876520619444,0
