group,user_id,user_serendipity
0,481.9605263157895,0.694108504901792
1,380.94117647058823,0.7346601240088049
2,396.0769230769231,0.7200177277885513
3,483.5673076923077,0.7294914010293445
4,616.0714285714286,0.6874605259595828
5,423.14814814814815,0.7334927621835567
6,421.96,0.7234494222860767
7,481.6056338028169,0.7021914975992316
8,312.1666666666667,0.7369014810691781
9,474.0,0.7886522093488159
10,520.8245614035088,0.6874538611913636
11,517.5,0.7738929351752943
12,279.0,0.8128543843909057
13,331.3333333333333,0.6975055915094367
14,486.62091503267976,0.7276082792394879
15,463.1290322580645,0.7162098778958699
16,544.0,0.749658452606948
17,475.8288770053476,0.7518791507078103
18,796.0,0.727727905697791
19,453.9911504424779,0.6931271528311921
