userID,user_serendipity
16,0.5408266930676334
42,0.5773818837859249
44,0.5352706806104118
82,0.5982187735186552
83,0.684971248593023
87,0.6792064687187063
95,0.6111315314422396
102,0.6326606019399679
109,0.630378772948591
116,0.7897367327509129
119,0.6955149147176057
125,0.6338189308185621
144,0.6547736662083875
164,0.6268756373272864
178,0.6279817179311319
189,0.6810186891714932
194,0.6169872347179444
197,0.6368451535157723
200,0.606019569462261
239,0.6454014921576752
244,0.6840224744684688
294,0.7218091993402347
305,0.684673013331208
312,0.6717223273891207
325,0.65040697016159
326,0.5772531592199435
328,0.6803581660321784
346,0.6348880797041367
360,0.6082647744938089
379,0.5922586674476293
392,0.6978652268564229
398,0.5505349236739269
399,0.6674539554500469
409,0.7192319996009912
452,0.615474164318879
454,0.6458122703225023
455,0.6348094150330873
456,0.6645757643869956
458,0.6462803972860891
488,0.558328199086801
489,0.7916450431341066
500,0.6970720708903994
506,0.6065755405217457
514,0.6032120790900741
543,0.587692335460857
545,0.6045019171174019
548,0.7101596419171571
567,0.6233758544599012
606,0.6362216920485038
608,0.6535515978899538
622,0.6358701647663579
643,0.5767695075533369
663,0.6848372372387497
666,0.619089287844403
694,0.5807641340992509
699,0.7334444906705808
709,0.6238347049661542
715,0.5815534033124998
738,0.5329470412111164
747,0.6600668316900615
749,0.631587330022487
766,0.571125094002586
788,0.6180465631894764
790,0.6584104323063148
815,0.5501559349754614
823,0.5764193193378354
840,0.6022410805037633
851,0.7130668145417836
862,0.5798582423752361
868,0.622729202432278
892,0.5815273027192788
897,0.5850100153516349
919,0.7063050254954892
936,0.7545605833404561
