userID,user_serendipity
1,0.708426967
2,0.766704089
3,0.758026269
4,0.747074122
5,0.72508216
6,0.700388908
7,0.732678088
8,0.699914676
9,0.721919138
10,0.661586799
11,0.723598914
12,0.573120508
13,0.833912616
14,0.675251196
15,0.73407487
16,0.604304128
17,0.634863094
18,0.66788688
19,0.705610498
20,0.593628376
21,0.835838895
22,0.669840796
23,0.616510597
24,0.59307089
25,0.60995266
26,0.699695896
27,0.668082532
28,0.64085466
29,0.716221231
30,0.733893284
31,0.77673841
32,0.633168637
33,0.700721022
34,0.748675084
35,0.740798976
36,0.777335101
37,0.601004742
38,0.766873517
39,0.702233722
40,0.695428389
41,0.540390312
42,0.631862942
43,0.681310537
44,0.594926134
45,0.638313576
46,0.689961749
47,0.706480836
48,0.673417708
49,0.739392229
50,0.736558537
51,0.536187719
52,0.672491799
53,0.569891389
54,0.677397375
55,0.575154729
56,0.622458051
57,0.69303401
58,0.731599194
59,0.693068713
60,0.671248096
61,0.689237628
62,0.672086109
63,0.715853559
64,0.644491904
65,0.613383661
66,0.616881563
67,0.650115058
68,0.618141363
69,0.686020884
70,0.624805979
71,0.649329463
72,0.627723809
73,0.639291308
74,0.701193219
75,0.672066271
76,0.738772348
77,0.561180479
78,0.714655694
79,0.756022272
80,0.655546491
81,0.651749536
82,0.666476805
83,0.71592892
84,0.635032194
85,0.690329969
86,0.714860234
87,0.691201247
88,0.766351253
89,0.736420129
90,0.761545209
91,0.705401004
92,0.698162874
93,0.629661718
94,0.683337669
95,0.657591305
96,0.578931699
97,0.576006865
98,0.660831067
99,0.696764872
100,0.773339923
101,0.677800298
102,0.669707569
103,0.602413918
104,0.739399361
105,0.66996488
106,0.634697932
107,0.69866528
108,0.632622734
109,0.67192536
110,0.742606413
111,0.704720581
112,0.726658264
113,0.745362569
114,0.614190498
115,0.667071234
116,0.817931484
117,0.678088843
118,0.65773035
119,0.724263035
120,0.584875706
121,0.688854307
122,0.675955599
123,0.664091055
124,0.510253828
125,0.701431732
126,0.735802046
127,0.72155973
128,0.674966806
129,0.73638476
130,0.759083128
131,0.724223139
132,0.688386941
133,0.697017968
134,0.678651277
135,0.682462714
136,0.666603411
137,0.666410242
138,0.632133161
139,0.740258272
140,0.693836505
141,0.72079084
142,0.732930342
143,0.658977123
144,0.69721256
145,0.779718023
146,0.716591702
147,0.706887289
148,0.600555965
149,0.723200853
150,0.647081231
151,0.699504967
152,0.70962578
153,0.587736065
154,0.649550361
155,0.701648438
156,0.632668822
157,0.669241728
158,0.677918938
159,0.739007569
160,0.690093944
161,0.631734799
162,0.62263898
163,0.61761743
164,0.677919685
165,0.656371997
166,0.699458998
167,0.743506388
168,0.645965291
169,0.662774813
170,0.711478066
171,0.700055633
172,0.699226933
173,0.741635954
174,0.760027443
175,0.567641576
176,0.749034449
177,0.704341392
178,0.690375788
179,0.786299051
180,0.642852501
181,0.908204468
182,0.615506057
183,0.597495085
184,0.70943189
185,0.693800838
186,0.745536388
187,0.594417114
188,0.612693643
189,0.743661908
190,0.699087757
191,0.741820234
192,0.696141587
193,0.715494582
194,0.661765496
195,0.75544641
196,0.733183426
197,0.756988732
198,0.626953661
199,0.729029124
200,0.671046936
201,0.754183323
202,0.56582031
203,0.666941933
204,0.75396023
205,0.69258353
206,0.834391867
207,0.701577643
208,0.62830623
209,0.752214052
210,0.631265189
211,0.76741958
212,0.645876494
213,0.64100513
214,0.72753197
215,0.571089591
216,0.686170933
217,0.615391961
218,0.631625495
219,0.806766801
220,0.690116007
221,0.656337553
222,0.697636487
223,0.732270902
224,0.772311258
225,0.636966678
226,0.665036463
227,0.695291851
228,0.706726195
229,0.718404257
230,0.612529013
231,0.613074165
232,0.642891707
233,0.619134444
234,0.7633472
235,0.743476606
236,0.677422181
237,0.612516276
238,0.644327176
239,0.687953636
240,0.699028644
241,0.690000137
242,0.779608556
243,0.73997913
244,0.700862441
245,0.679165774
246,0.667721607
247,0.685296757
248,0.612975623
249,0.657266628
250,0.721173921
251,0.658156813
252,0.685412529
253,0.618722082
254,0.703667241
255,0.787754789
256,0.755758381
257,0.785252854
258,0.701831057
259,0.617817397
260,0.738702214
261,0.723021531
262,0.669635499
263,0.637398027
264,0.723629157
265,0.640744413
266,0.704553374
267,0.624993789
268,0.706512243
269,0.670757093
270,0.752128733
271,0.68776819
272,0.57295904
273,0.696055336
274,0.675168233
275,0.593249857
276,0.737588277
277,0.692299268
278,0.725355659
279,0.793303106
280,0.710592368
281,0.730669757
282,0.676813603
283,0.652025822
284,0.749325545
285,0.612254903
286,0.778203653
287,0.671514661
288,0.647953877
289,0.622880263
290,0.61959295
291,0.728050287
292,0.663720161
293,0.680493346
294,0.747113034
295,0.645584631
296,0.726792492
297,0.662524132
298,0.644309419
299,0.769950876
300,0.763241042
301,0.633567091
302,0.718536585
303,0.733874929
304,0.711403923
305,0.712904466
306,0.74437551
307,0.661343337
308,0.689014085
309,0.72612519
310,0.76661872
311,0.652138598
312,0.69158064
313,0.681316546
314,0.769695312
315,0.632376979
316,0.678754323
317,0.695660118
318,0.681141463
319,0.714339157
320,0.669255841
321,0.685379887
322,0.631854547
323,0.702752941
324,0.737589002
325,0.668589483
326,0.630967689
327,0.68433079
328,0.695728409
329,0.684542806
330,0.642210897
331,0.698708039
332,0.708872812
333,0.67551965
334,0.753227982
